Series_Title,Overview,concatenated_text
Deliverance,Intent on seeing the Cahulawassee River before its dammed and turned into a lake outdoor fanatic Lewis Medlock takes his friends on a canoeing trip theyll never forget into the dangerous American backcountry,Deliverance Intent on seeing the Cahulawassee River before its dammed and turned into a lake outdoor fanatic Lewis Medlock takes his friends on a canoeing trip theyll never forget into the dangerous American backcountry
The French Connection,A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection,The French Connection A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection
Dirty Harry,When a madman calling himself the Scorpio Killer menaces the city toughasnails San Francisco Police Inspector Dirty Harry Callahan is assigned to track down and ferret out the crazed psychopath,Dirty Harry When a madman calling himself the Scorpio Killer menaces the city toughasnails San Francisco Police Inspector Dirty Harry Callahan is assigned to track down and ferret out the crazed psychopath
Where Eagles Dare,Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner but thats not all thats really going on,Where Eagles Dare Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner but thats not all thats really going on
The Odd Couple,Two friends try sharing an apartment but their ideas of housekeeping and lifestyles are as different as night and day,The Odd Couple Two friends try sharing an apartment but their ideas of housekeeping and lifestyles are as different as night and day
The Dirty Dozen,During World War II a rebellious US Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers,The Dirty Dozen During World War II a rebellious US Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers
Belle de jour,A frigid young housewife decides to spend her midweek afternoons as a prostitute,Belle de jour A frigid young housewife decides to spend her midweek afternoons as a prostitute
A Man for All Seasons,The story of Sir Thomas More who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry,A Man for All Seasons The story of Sir Thomas More who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry
Repulsion,A sexrepulsed woman who disapproves of her sisters boyfriend sinks into depression and has horrific visions of rape and violence,Repulsion A sexrepulsed woman who disapproves of her sisters boyfriend sinks into depression and has horrific visions of rape and violence
Zulu,Outnumbered British soldiers do battle with Zulu warriors at Rorkes Drift,Zulu Outnumbered British soldiers do battle with Zulu warriors at Rorkes Drift
Goldfinger,While investigating a gold magnates smuggling James Bond uncovers a plot to contaminate the Fort Knox gold reserve,Goldfinger While investigating a gold magnates smuggling James Bond uncovers a plot to contaminate the Fort Knox gold reserve
The Birds,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people,The Birds A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people
Cape Fear,A lawyers family is stalked by a man he once helped put in jail,Cape Fear A lawyers family is stalked by a man he once helped put in jail
